Executing /workspace/m1_dev/python_env/../adarand/ada_rand.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1, 'reg_lambda': 1.0, 'rand_lr': 0.001}
Epoch 83/200, Loss: 0.0011568515850552197, CE: 7.442640778069554e-05, Reg: 0.0010824251800702124, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9373464373464373
Epoch 84/200, Loss: 0.001141312785602629, CE: 6.927103562066342e-05, Reg: 0.0010720417517113496, Top-1 Acc: 0.7733415233415234, Top-5 Acc: 0.937960687960688
Epoch 85/200, Loss: 0.0011312390042221164, CE: 6.973531741060097e-05, Reg: 0.0010615036899701055, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9342751842751843
Epoch 86/200, Loss: 0.0011190865756576798, CE: 6.779143127079151e-05, Reg: 0.0010512951443779278, Top-1 Acc: 0.7714987714987716, Top-5 Acc: 0.9361179361179361
Epoch 87/200, Loss: 0.0011065605210066943, CE: 6.437116337173362e-05, Reg: 0.0010421893552514574, Top-1 Acc: 0.7757985257985258, Top-5 Acc: 0.9367321867321867
Epoch 88/200, Loss: 0.001100846557084269, CE: 6.745626203419889e-05, Reg: 0.0010333902946916486, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9342751842751843
Epoch 89/200, Loss: 0.0010884916415584865, CE: 6.306910848973624e-05, Reg: 0.001025422532432552, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9318181818181818
Epoch 90/200, Loss: 0.0010800302003423129, CE: 6.396842697625831e-05, Reg: 0.0010160617676581913, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9348894348894349
Epoch 91/200, Loss: 0.0010691729220538744, CE: 6.094764941888104e-05, Reg: 0.0010082252717030973, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9355036855036855
Epoch 92/200, Loss: 0.0010594634661506036, CE: 6.0623401090008976e-05, Reg: 0.0009988400674530585, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9361179361179361
Epoch 93/200, Loss: 0.0010494728878902024, CE: 5.80101184043867e-05, Reg: 0.0009914627677205896, Top-1 Acc: 0.7671990171990172, Top-5 Acc: 0.9305896805896806
Epoch 94/200, Loss: 0.001060901647559803, CE: 7.267611753883693e-05, Reg: 0.0009882255308811777, Top-1 Acc: 0.7665847665847666, Top-5 Acc: 0.9293611793611793
Epoch 95/200, Loss: 0.0010519542305826627, CE: 6.0650704477137626e-05, Reg: 0.0009913035279043533, Top-1 Acc: 0.7604422604422605, Top-5 Acc: 0.9293611793611793
Epoch 96/200, Loss: 0.0010341087578717857, CE: 5.416044109887896e-05, Reg: 0.0009799483197791676, Top-1 Acc: 0.769041769041769, Top-5 Acc: 0.9281326781326781
Epoch 97/200, Loss: 0.0010289498309494717, CE: 5.7574705974483606e-05, Reg: 0.0009713751235816242, Top-1 Acc: 0.7610565110565111, Top-5 Acc: 0.9281326781326781
Epoch 98/200, Loss: 0.0010196404818908812, CE: 5.420220836618109e-05, Reg: 0.0009654382704825971, Top-1 Acc: 0.7598280098280098, Top-5 Acc: 0.9281326781326781
Epoch 99/200, Loss: 0.0010135917267142772, CE: 5.3238404070904877e-05, Reg: 0.0009603533220564571, Top-1 Acc: 0.7641277641277642, Top-5 Acc: 0.9281326781326781
Epoch 100/200, Loss: 0.0010094973582687233, CE: 5.304632726432013e-05, Reg: 0.0009564510302898002, Top-1 Acc: 0.7592137592137592, Top-5 Acc: 0.9232186732186732
Epoch 101/200, Loss: 0.0010035794186451716, CE: 5.174029879997071e-05, Reg: 0.0009518391200400926, Top-1 Acc: 0.757985257985258, Top-5 Acc: 0.9232186732186732
Epoch 102/200, Loss: 0.0009989702969151802, CE: 5.2506075198252446e-05, Reg: 0.0009464642243446058, Top-1 Acc: 0.7530712530712531, Top-5 Acc: 0.918918918918919
Epoch 103/200, Loss: 0.0009924776678941593, CE: 5.046521732429521e-05, Reg: 0.0009420124511119768, Top-1 Acc: 0.7524570024570024, Top-5 Acc: 0.921990171990172
Epoch 104/200, Loss: 0.000992390693032316, CE: 5.409001625836035e-05, Reg: 0.0009383006756001249, Top-1 Acc: 0.7518427518427518, Top-5 Acc: 0.921990171990172
Epoch 105/200, Loss: 0.0009953351401760624, CE: 5.9372889777231705e-05, Reg: 0.0009359622484857556, Top-1 Acc: 0.7524570024570024, Top-5 Acc: 0.9213759213759214
Epoch 106/200, Loss: 0.0009819955230699715, CE: 4.974734443758145e-05, Reg: 0.0009322481793626739, Top-1 Acc: 0.7463144963144963, Top-5 Acc: 0.9133906633906634
Epoch 107/200, Loss: 0.0009771516541445748, CE: 4.879946057376334e-05, Reg: 0.0009283521923745794, Top-1 Acc: 0.7432432432432432, Top-5 Acc: 0.9146191646191646
Epoch 108/200, Loss: 0.0009729490561520891, CE: 4.823202557261162e-05, Reg: 0.0009247170307609284, Top-1 Acc: 0.7487714987714987, Top-5 Acc: 0.914004914004914
Epoch 109/200, Loss: 0.0009687156367730441, CE: 4.806805584181356e-05, Reg: 0.0009206475823626767, Top-1 Acc: 0.75, Top-5 Acc: 0.9164619164619164
Epoch 110/200, Loss: 0.0009687133595058374, CE: 4.727759443116595e-05, Reg: 0.000921435765417412, Top-1 Acc: 0.7414004914004914, Top-5 Acc: 0.9152334152334153
Epoch 111/200, Loss: 0.0009847845695224668, CE: 5.662574727385918e-05, Reg: 0.0009281588239443897, Top-1 Acc: 0.7518427518427518, Top-5 Acc: 0.9226044226044227
Epoch 112/200, Loss: 0.0009662749344973912, CE: 4.6658765952061406e-05, Reg: 0.0009196161695645912, Top-1 Acc: 0.7524570024570024, Top-5 Acc: 0.9146191646191646
Epoch 113/200, Loss: 0.0009610383012079694, CE: 4.600449011408712e-05, Reg: 0.0009150338090217576, Top-1 Acc: 0.7475429975429976, Top-5 Acc: 0.9146191646191646
Epoch 114/200, Loss: 0.0009570762829332075, CE: 4.498450212410936e-05, Reg: 0.000912091781653629, Top-1 Acc: 0.7414004914004914, Top-5 Acc: 0.9146191646191646
Epoch 115/200, Loss: 0.0009533627121594592, CE: 4.5965850883561504e-05, Reg: 0.0009073968609712394, Top-1 Acc: 0.7383292383292384, Top-5 Acc: 0.9103194103194103
Epoch 116/200, Loss: 0.00095155822592581, CE: 4.604084939260448e-05, Reg: 0.0009055173774639814, Top-1 Acc: 0.745085995085995, Top-5 Acc: 0.9127764127764127
Epoch 117/200, Loss: 0.0009504319168627262, CE: 4.7132547680735e-05, Reg: 0.0009032993688101288, Top-1 Acc: 0.7334152334152334, Top-5 Acc: 0.9121621621621622
Epoch 118/200, Loss: 0.0009404176953959788, CE: 4.0450642507655485e-05, Reg: 0.0008999670519071443, Top-1 Acc: 0.7358722358722358, Top-5 Acc: 0.9133906633906634
Epoch 119/200, Loss: 0.000942774524733314, CE: 4.399766062149489e-05, Reg: 0.0008987768649541099, Top-1 Acc: 0.7266584766584766, Top-5 Acc: 0.9115479115479116
Epoch 120/200, Loss: 0.0009375586695716776, CE: 4.0259992747540785e-05, Reg: 0.0008972986791113144, Top-1 Acc: 0.7328009828009828, Top-5 Acc: 0.9115479115479116
Epoch 121/200, Loss: 0.0009373627339829255, CE: 4.050525280340458e-05, Reg: 0.0008968574802386643, Top-1 Acc: 0.7346437346437347, Top-5 Acc: 0.9078624078624079
Epoch 122/200, Loss: 0.0009361495742152257, CE: 4.048011831136464e-05, Reg: 0.0008956694572916246, Top-1 Acc: 0.7346437346437347, Top-5 Acc: 0.9023341523341524
Epoch 123/200, Loss: 0.0009358555750618574, CE: 4.042932610013514e-05, Reg: 0.0008954262479066188, Top-1 Acc: 0.7383292383292384, Top-5 Acc: 0.9078624078624079
Epoch 124/200, Loss: 0.0009351732404879638, CE: 4.0696086652191334e-05, Reg: 0.0008944771519238175, Top-1 Acc: 0.7364864864864865, Top-5 Acc: 0.9078624078624079
Epoch 125/200, Loss: 0.0009364542617861714, CE: 4.068505922830433e-05, Reg: 0.000895769202856925, Top-1 Acc: 0.7371007371007371, Top-5 Acc: 0.9072481572481572
Epoch 126/200, Loss: 0.0009360397607317478, CE: 4.020527788566254e-05, Reg: 0.0008958344834654826, Top-1 Acc: 0.7328009828009828, Top-5 Acc: 0.9054054054054054
Epoch 127/200, Loss: 0.0009344317356762224, CE: 4.012053871300505e-05, Reg: 0.0008943111938539103, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9066339066339066
Epoch 128/200, Loss: 0.0009329270931612241, CE: 4.034592459817217e-05, Reg: 0.0008925811689819572, Top-1 Acc: 0.7248157248157249, Top-5 Acc: 0.9054054054054054
Epoch 129/200, Loss: 0.0009323475401265904, CE: 4.0098376214436355e-05, Reg: 0.0008922491636668594, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9078624078624079
Epoch 130/200, Loss: 0.0009329858129348588, CE: 4.026249146214656e-05, Reg: 0.0008927233235593977, Top-1 Acc: 0.7272727272727273, Top-5 Acc: 0.9109336609336609
Epoch 131/200, Loss: 0.000931576255931441, CE: 4.015721189824241e-05, Reg: 0.0008914190444297024, Top-1 Acc: 0.7346437346437347, Top-5 Acc: 0.9115479115479116
Epoch 132/200, Loss: 0.0009332802373195626, CE: 4.067876376310209e-05, Reg: 0.0008926014728463379, Top-1 Acc: 0.7254299754299754, Top-5 Acc: 0.9060196560196561
Epoch 133/200, Loss: 0.0009313286095742926, CE: 4.009005485874646e-05, Reg: 0.0008912385548029113, Top-1 Acc: 0.726044226044226, Top-5 Acc: 0.9072481572481572
Epoch 134/200, Loss: 0.0009278592595078161, CE: 3.650874652427366e-05, Reg: 0.0008913505133677256, Top-1 Acc: 0.7272727272727273, Top-5 Acc: 0.9060196560196561
Epoch 135/200, Loss: 0.0009304068336295413, CE: 3.96286014438822e-05, Reg: 0.0008907782317029102, Top-1 Acc: 0.7285012285012284, Top-5 Acc: 0.9072481572481572
Epoch 136/200, Loss: 0.0009305324099196368, CE: 4.0949651376981396e-05, Reg: 0.0008895827567415871, Top-1 Acc: 0.7321867321867321, Top-5 Acc: 0.9084766584766585
Epoch 137/200, Loss: 0.0009302013261780473, CE: 3.9930324206588786e-05, Reg: 0.0008902710012568555, Top-1 Acc: 0.7272727272727273, Top-5 Acc: 0.9054054054054054
Epoch 138/200, Loss: 0.0009300670428247435, CE: 4.018175531841219e-05, Reg: 0.0008898852863280203, Top-1 Acc: 0.7285012285012284, Top-5 Acc: 0.9041769041769042
Epoch 139/200, Loss: 0.0009284098486397691, CE: 3.967403355704734e-05, Reg: 0.0008887358149169517, Top-1 Acc: 0.730958230958231, Top-5 Acc: 0.9060196560196561
Epoch 140/200, Loss: 0.0009294403312622289, CE: 3.978972726651273e-05, Reg: 0.0008896506036484953, Top-1 Acc: 0.7328009828009828, Top-5 Acc: 0.9078624078624079
Epoch 141/200, Loss: 0.0009296562022580008, CE: 3.998264529969325e-05, Reg: 0.0008896735583987142, Top-1 Acc: 0.7285012285012284, Top-5 Acc: 0.9060196560196561
Epoch 142/200, Loss: 0.000928552654397495, CE: 3.959023888007677e-05, Reg: 0.0008889624176276252, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9047911547911548
Epoch 143/200, Loss: 0.0009290573179717244, CE: 4.089924433451796e-05, Reg: 0.0008881580743484493, Top-1 Acc: 0.7364864864864865, Top-5 Acc: 0.9066339066339066
Epoch 144/200, Loss: 0.000928687939610736, CE: 3.9922790318741326e-05, Reg: 0.0008887651487106796, Top-1 Acc: 0.7328009828009828, Top-5 Acc: 0.9041769041769042
