Executing /workspace/m1_dev/python_env/../adarand/fine_tuning.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1}
Epoch 94/200, Loss: 4.8394409138699426e-05, Top-1 Acc: 0.7708845208845209, Top-5 Acc: 0.9355036855036855
Epoch 95/200, Loss: 4.5836779719785977e-05, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.933046683046683
Epoch 96/200, Loss: 4.8264542485929026e-05, Top-1 Acc: 0.7702702702702703, Top-5 Acc: 0.9342751842751843
Epoch 97/200, Loss: 4.78822758064296e-05, Top-1 Acc: 0.7684275184275184, Top-5 Acc: 0.9348894348894349
Epoch 98/200, Loss: 4.6279702997400766e-05, Top-1 Acc: 0.7702702702702703, Top-5 Acc: 0.9324324324324325
Epoch 99/200, Loss: 4.1055885168592794e-05, Top-1 Acc: 0.7702702702702703, Top-5 Acc: 0.9355036855036855
Epoch 100/200, Loss: 4.75987472561082e-05, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.9312039312039312
Epoch 101/200, Loss: 4.246190817822768e-05, Top-1 Acc: 0.7641277641277642, Top-5 Acc: 0.9318181818181818
Epoch 102/200, Loss: 4.586953905047363e-05, Top-1 Acc: 0.7714987714987716, Top-5 Acc: 0.9312039312039312
Epoch 103/200, Loss: 4.7677264512367065e-05, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9336609336609336
Epoch 104/200, Loss: 4.256204399179976e-05, Top-1 Acc: 0.7721130221130221, Top-5 Acc: 0.9336609336609336
Epoch 105/200, Loss: 4.359271018210039e-05, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9355036855036855
Epoch 106/200, Loss: 4.6064086790703264e-05, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9373464373464373
Epoch 107/200, Loss: 4.21688679538394e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9385749385749386
Epoch 108/200, Loss: 4.358589114937056e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9355036855036855
Epoch 109/200, Loss: 4.320267394477408e-05, Top-1 Acc: 0.785012285012285, Top-5 Acc: 0.9373464373464373
Epoch 110/200, Loss: 4.377367954543535e-05, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.937960687960688
Epoch 111/200, Loss: 4.230251102777355e-05, Top-1 Acc: 0.773955773955774, Top-5 Acc: 0.9391891891891891
Epoch 112/200, Loss: 4.3385277278484575e-05, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9367321867321867
Epoch 113/200, Loss: 3.933512156783347e-05, Top-1 Acc: 0.7721130221130221, Top-5 Acc: 0.9385749385749386
Epoch 114/200, Loss: 4.196989425808214e-05, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9391891891891891
Epoch 115/200, Loss: 4.0527130295966514e-05, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9361179361179361
Epoch 116/200, Loss: 4.0751417801998866e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9391891891891891
Epoch 117/200, Loss: 3.993762846109489e-05, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9367321867321867
Epoch 118/200, Loss: 4.1644763322092955e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.937960687960688
Epoch 119/200, Loss: 4.2205117889822836e-05, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.937960687960688
Epoch 120/200, Loss: 3.706906016904722e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9361179361179361
Epoch 121/200, Loss: 3.7028605633334646e-05, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9367321867321867
Epoch 122/200, Loss: 3.637758741203923e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9404176904176904
Epoch 123/200, Loss: 3.450125770564486e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9385749385749386
Epoch 124/200, Loss: 3.5204322529379185e-05, Top-1 Acc: 0.7733415233415234, Top-5 Acc: 0.9398034398034398
Epoch 125/200, Loss: 3.47733153454044e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9391891891891891
Epoch 126/200, Loss: 3.409964327879812e-05, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9391891891891891
Epoch 127/200, Loss: 3.552587585903239e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9391891891891891
Epoch 128/200, Loss: 3.4526056135638524e-05, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9385749385749386
Epoch 129/200, Loss: 3.610492717570389e-05, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9391891891891891
Epoch 130/200, Loss: 3.552689771254826e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9398034398034398
Epoch 131/200, Loss: 3.5626770831146736e-05, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9385749385749386
Epoch 132/200, Loss: 3.432166168672128e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9404176904176904
Epoch 133/200, Loss: 3.4546706195770004e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9385749385749386
Epoch 134/200, Loss: 3.494476145143018e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9385749385749386
Epoch 135/200, Loss: 3.494612835906378e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9373464373464373
Epoch 136/200, Loss: 3.476657175219565e-05, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9391891891891891
Epoch 137/200, Loss: 3.477324785486141e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9355036855036855
Epoch 138/200, Loss: 3.456531897403118e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9361179361179361
Epoch 139/200, Loss: 3.502316374748785e-05, Top-1 Acc: 0.7831695331695332, Top-5 Acc: 0.9385749385749386
Epoch 140/200, Loss: 3.39037186932028e-05, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9385749385749386
Epoch 141/200, Loss: 3.3675754219903395e-05, Top-1 Acc: 0.7856265356265356, Top-5 Acc: 0.9373464373464373
Epoch 142/200, Loss: 3.5894387900905894e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9404176904176904
Epoch 143/200, Loss: 3.458355018522542e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9385749385749386
Epoch 144/200, Loss: 3.4508800754597696e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.937960687960688
Epoch 145/200, Loss: 3.527011066497084e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9391891891891891
Epoch 146/200, Loss: 3.404462336375488e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9385749385749386
Epoch 147/200, Loss: 3.473007096035943e-05, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.937960687960688
Epoch 148/200, Loss: 3.4483323785798156e-05, Top-1 Acc: 0.7733415233415234, Top-5 Acc: 0.937960687960688
Epoch 149/200, Loss: 3.4556409990993296e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.937960687960688
Epoch 150/200, Loss: 3.546574990461896e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9373464373464373
Epoch 151/200, Loss: 3.402369392201743e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.941031941031941
Epoch 152/200, Loss: 3.418624176305247e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9373464373464373
Epoch 153/200, Loss: 3.558419504344346e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9391891891891891
Epoch 154/200, Loss: 3.4527788195213656e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9398034398034398
Epoch 155/200, Loss: 3.474685106078627e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9367321867321867
Epoch 156/200, Loss: 3.330949698581646e-05, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9404176904176904
Epoch 157/200, Loss: 3.544864380785874e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.937960687960688
